2025-10-15 15:35:17,001 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_setup.py:_flush():81] Current SDK version is 0.22.2
2025-10-15 15:35:17,002 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_setup.py:_flush():81] Configure stats pid to 239428
2025-10-15 15:35:17,002 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_setup.py:_flush():81] Loading settings from /home/user/.config/wandb/settings
2025-10-15 15:35:17,002 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_setup.py:_flush():81] Loading settings from /home/user/fl/my-app/wandb/settings
2025-10-15 15:35:17,002 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-15 15:35:17,002 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_init.py:setup_run_log_directory():705] Logging user logs to /home/user/fl/my-app/wandb/run-20251015_153516-liex8apx/logs/debug.log
2025-10-15 15:35:17,002 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to /home/user/fl/my-app/wandb/run-20251015_153516-liex8apx/logs/debug-internal.log
2025-10-15 15:35:17,002 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_init.py:init():832] calling init triggers
2025-10-15 15:35:17,002 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'num-supernodes': 10, 'strategy': 'battery_aware', 'num-server-rounds': 5, 'selection-fraction': 0.5, 'local-epochs': 5, 'lr': 0.01, 'alpha': 2.0, 'min-battery-threshold': 0.2, '_wandb': {}}
2025-10-15 15:35:17,002 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_init.py:init():880] starting backend
2025-10-15 15:35:17,422 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_init.py:init():883] sending inform_init request
2025-10-15 15:35:17,428 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_init.py:init():891] backend started and connected
2025-10-15 15:35:17,436 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_init.py:init():961] updated telemetry
2025-10-15 15:35:17,437 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-10-15 15:35:18,505 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_init.py:init():1036] starting run threads in backend
2025-10-15 15:35:18,699 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_run.py:_console_start():2509] atexit reg
2025-10-15 15:35:18,699 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_run.py:_redirect():2357] redirect: wrap_raw
2025-10-15 15:35:18,699 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_run.py:_redirect():2426] Wrapping output streams.
2025-10-15 15:35:18,699 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_run.py:_redirect():2449] Redirects installed.
2025-10-15 15:35:18,707 INFO    Thread-1 (server_th_with_start_checks):239428 [wandb_init.py:init():1076] run started, returning control to user process
2025-10-15 15:38:29,268 INFO    wandb-AsyncioManager-main:239428 [service_client.py:_forward_responses():80] Reached EOF.
2025-10-15 15:38:29,268 INFO    wandb-AsyncioManager-main:239428 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
